WTCHG	seqID	indexingID	sampleID	count	batch
WTCHG_447702_262161	447702	262161	B1001V7	1763842	3
WTCHG_447702_263124	447702	263124	B1037V1	980924	3
WTCHG_447702_263173	447702	263173	B1003V1	1838465	3
WTCHG_447702_264112	447702	264112	B1037V2	1894918	3
WTCHG_447702_264185	447702	264185	B1003V2	1857103	3
WTCHG_447702_265102	447702	265102	B1003V3	1940066	3
WTCHG_447702_265195	447702	265195	B1037V3	1526624	3
WTCHG_447702_266114	447702	266114	B1003V4	1556749	3
WTCHG_447702_266183	447702	266183	B1037V4	1658428	3
WTCHG_447702_267126	447702	267126	B1003V5	1809875	3
WTCHG_447702_267171	447702	267171	B1037V5	1723352	3
WTCHG_447702_268138	447702	268138	B1003V6	1620023	3
WTCHG_447702_268159	447702	268159	B1037V6	1737542	3
WTCHG_447702_269147	447702	269147	B1036V1	1553202	3
WTCHG_447702_269150	447702	269150	B1003V7	1735928	3
WTCHG_447702_270135	447702	270135	B1036V2	1666485	3
WTCHG_447702_270162	447702	270162	B1004V3	1670914	3
WTCHG_447702_271123	447702	271123	B1036V3	1596404	3
WTCHG_447702_271174	447702	271174	B1004V5	1660322	3
WTCHG_447702_272111	447702	272111	B1036V5	1683045	3
WTCHG_447702_272186	447702	272186	B1004V6	1641328	3
WTCHG_447702_273103	447702	273103	B1004V7	1788877	3
WTCHG_447702_273194	447702	273194	B1036V6	1597444	3
WTCHG_447702_274115	447702	274115	B1005V1	1734607	3
WTCHG_447702_274182	447702	274182	B1002V1	1865770	3
WTCHG_447702_275127	447702	275127	B1005V2	1682235	3
WTCHG_447702_275170	447702	275170	B1002V2	1832153	3
WTCHG_447702_276139	447702	276139	B1005V3	1737608	3
WTCHG_447702_276158	447702	276158	B1002V3	264227	3
WTCHG_447702_277146	447702	277146	B1002V4	1787537	3
WTCHG_447702_277151	447702	277151	B1005V4	1602281	3
WTCHG_447702_278134	447702	278134	B1002V5	1783543	3
WTCHG_447702_278163	447702	278163	B1005V5	1579879	3
WTCHG_447702_279122	447702	279122	B1002V6	1743445	3
WTCHG_447702_279175	447702	279175	B1005V6	1682394	3
WTCHG_447702_280110	447702	280110	B1002V7	1761187	3
WTCHG_447702_280187	447702	280187	B1005V7	1858933	3
WTCHG_447702_281104	447702	281104	B1008V1	1772037	3
WTCHG_447702_281193	447702	281193	B1011V2	1826002	3
WTCHG_447702_282116	447702	282116	B1008V3	1772958	3
WTCHG_447702_282181	447702	282181	B1011V3	1825553	3
WTCHG_447702_283128	447702	283128	B1008V4	1720586	3
WTCHG_447702_283169	447702	283169	B1011V4	1897419	3
WTCHG_447702_284140	447702	284140	B1008V5	1961145	3
WTCHG_447702_284157	447702	284157	B1011V5	1917533	3
WTCHG_447702_285145	447702	285145	B1011V6	1877205	3
WTCHG_447702_285152	447702	285152	B1008V6	1849442	3
