WTCHG	lane_id	seq_id	sampleID	count	batch
WTCHG_487927_254136	487927	254136	BHM00220	3479860	5
WTCHG_487927_255124	487927	255124	BHM00225	3396220	5
WTCHG_487927_256112	487927	256112	BHM00231	3345138	5
WTCHG_487927_257195	487927	257195	BHM00233	5310152	5
WTCHG_487927_258183	487927	258183	BHM00235	3434371	5
WTCHG_487927_259171	487927	259171	BHM00241	4222226	5
WTCHG_487927_260159	487927	260159	BHM00242	3182342	5
WTCHG_487927_261147	487927	261147	BHM00245	3401334	5
WTCHG_487927_262135	487927	262135	BHM00246	3392635	5
WTCHG_487927_263123	487927	263123	BHM00247	3795140	5
WTCHG_487927_264111	487927	264111	BHM00248	3607631	5
WTCHG_487927_265194	487927	265194	BHM00249	3739203	5
WTCHG_487927_266182	487927	266182	BHM00250	3697474	5
WTCHG_487927_267170	487927	267170	BHM00252	3802657	5
WTCHG_487927_268158	487927	268158	BHM00253	3892788	5
WTCHG_487927_269146	487927	269146	BHM00254	3719044	5
WTCHG_487927_270134	487927	270134	BHM00255	3504927	5
WTCHG_487927_271122	487927	271122	BHM00256	3476520	5
WTCHG_487927_272110	487927	272110	BHM00258	3519296	5
WTCHG_487927_273193	487927	273193	BHM00259	5027342	5
WTCHG_487927_274181	487927	274181	BHM00260	4091042	5
WTCHG_487927_275169	487927	275169	BHM00261	3598654	5
WTCHG_487927_276157	487927	276157	BHM00271	3625677	5
WTCHG_487927_277145	487927	277145	BHM00274	3213895	5
WTCHG_487927_278133	487927	278133	BHM00272	3352102	5
